plot_number,id,Ycoordinate,Xcoordinate
1,FOR to MOS,12.47176025,98.96604738
2,FOR to MOS,12.33341969,98.95032686
3,FOR to MOS,13.73209659,98.45310935
4,FOR to MOS,12.7807807,98.94493697
5,FOR to MOS,12.0357779,98.80075737
6,FOR to MOS,14.87475363,98.21325917
7,FOR to MOS,11.78095579,99.27237289
8,FOR to MOS,11.85910922,99.50144329
9,FOR to MOS,12.40977649,98.68846796
10,FOR to MOS,12.19597745,99.13358318
11,FOR to MOS,13.82911464,98.16475015
12,FOR to MOS,13.34181943,98.50357834
13,FOR to MOS,11.95612727,99.20499924
14,FOR to MOS,13.37636374,98.52183047
15,FOR to MOS,12.07200995,98.91125015
16,FOR to MOS,12.72560523,98.74331247
17,FOR to MOS,14.08782944,98.57168697
18,FOR to MOS,13.77117331,98.14049563
19,FOR to MOS,11.12177204,98.77704184
20,FOR to MOS,11.85641428,99.02982776
21,FOR to MOS,12.59482944,98.96245412
22,FOR to MOS,13.34027673,99.10836017
23,FOR to MOS,12.90205327,98.69026459
24,FOR to MOS,13.11764894,98.75224834
25,FOR to MOS,14.16867782,98.46119419
26,FOR to MOS,14.44053048,98.01955994
27,FOR to MOS,10.6706381,98.47197397
28,FOR to MOS,14.22257674,98.44637199
29,FOR to MOS,12.50050634,98.97862379
30,FOR to MOS,12.00733125,98.88969058
31,FOR to MOS,11.5464955,98.97458137
32,FOR to MOS,14.01237096,98.08390177
33,FOR to MOS,12.12860381,98.84118155
34,FOR to MOS,12.25930868,99.13493065
35,FOR to MOS,13.74961374,99.14571044
36,FOR to MOS,13.07709,98.64189031
37,FOR to MOS,11.43196031,99.39364545
38,FOR to MOS,13.562315,98.5501274
39,FOR to MOS,11.95073738,99.17265989
40,FOR to MOS,10.49546662,98.6746339
41,FOR to MOS,12.39001356,99.03656513
42,FOR to MOS,12.82389984,98.79267253
43,FOR to MOS,13.98003161,98.32779437
44,FOR to MOS,13.30629515,99.1376256
45,FOR to MOS,14.3937058,98.04078264
46,FOR to MOS,11.8550668,99.0729469
47,FOR to MOS,10.35595135,98.71265337
48,FOR to MOS,14.68071753,98.20113191
49,FOR to MOS,11.85641428,99.38556062
50,FOR to MOS,11.39827348,98.74820592
51,FOR to MOS,11.85551596,99.4196966
52,FOR to MOS,13.22544677,98.61884852
53,FOR to MOS,12.31994496,98.96514906
54,FOR to MOS,12.02889081,98.96514906
55,FOR to MOS,12.76191608,98.83040177
56,FOR to MOS,12.02619587,98.83174924
57,FOR to MOS,12.98290164,98.73038934
58,FOR to MOS,11.99744978,99.02803113
59,FOR to MOS,10.16129334,98.56090719
60,FOR to MOS,13.26654469,99.03521766
61,FOR to MOS,11.89683847,99.25620322
62,FOR to MOS,12.15124135,98.80992018
63,FOR to MOS,12.89666338,98.94089455
64,FOR to MOS,11.80521031,98.69565448
65,FOR to MOS,12.00194135,99.2319487
66,FOR to MOS,13.92209027,98.61750105
67,FOR to MOS,13.36019406,98.56899202
68,FOR to MOS,10.81616518,98.67409491
69,FOR to MOS,10.29065074,98.60402632
70,FOR to MOS,11.88779115,99.25735819
71,FOR to MOS,14.21000032,98.54833077
72,FOR to MOS,14.66454786,97.96262921
73,FOR to MOS,11.52763088,98.94897939
74,FOR to MOS,10.85928431,98.64579798
75,FOR to MOS,13.84258937,98.6350182
76,FOR to MOS,13.68807914,99.01275977
77,FOR to MOS,12.93439262,98.69834942
78,FOR to MOS,11.33224731,98.81962199
79,FOR to MOS,12.44660742,99.06755701
80,FOR to MOS,12.29628933,99.13523009
81,FOR to MOS,12.62245264,98.75292208
82,FOR to MOS,12.69723738,98.91125015
83,FOR to MOS,13.71637607,99.12415087
84,FOR to MOS,12.21484208,98.89508047
85,FOR to MOS,13.35480417,98.57438191
86,FOR to MOS,13.06644497,98.66331513
87,FOR to MOS,13.35031259,98.63411988
88,FOR to MOS,12.44930236,98.73877361
89,FOR to MOS,13.29551536,98.54204256
90,FOR to MOS,13.4033132,99.02174293
91,FOR to MOS,12.48433666,99.07564184
92,FOR to MOS,14.89227078,98.09063913
93,FOR to MOS,11.9399576,99.19960935
94,FOR to MOS,14.03258305,98.91933498
95,FOR to MOS,14.93673739,98.16475015
96,FOR to MOS,11.32955236,98.95436928
97,FOR to MOS,11.79409365,99.27742591
98,FOR to MOS,14.09366849,98.88706473
99,FOR to MOS,13.88031861,98.6320123
100,FOR to MOS,14.33037457,98.4558043
101,FOR to MOS,11.99475483,98.89418216
102,FOR to MOS,13.87897114,98.25907325
103,FOR to MOS,14.22796663,98.32914184
104,FOR to MOS,13.34941428,98.520483
105,FOR to MOS,12.42235291,99.09450646
106,FOR to MOS,14.13094858,98.53126278
107,FOR to MOS,10.68950272,98.67409491
108,FOR to MOS,11.85102439,99.55264726
109,FOR to MOS,11.50642283,98.96925007
110,FOR to MOS,12.79964533,98.70373932
111,FOR to MOS,11.223102,98.78189275
112,FOR to MOS,12.20675724,98.893733
113,FOR to MOS,11.41174821,98.89979663
114,FOR to MOS,10.64997685,98.68667133
115,FOR to MOS,11.79712547,98.7495534
116,FOR to MOS,10.14108124,98.54204256
117,FOR to MOS,12.6864576,98.9381996
118,FOR to MOS,10.21586599,98.58111928
119,FOR to MOS,11.40995158,99.06037048
120,FOR to MOS,12.74035652,98.72260394
121,FOR to MOS,10.04136825,98.55821224
122,FOR to MOS,13.93691248,98.0973765
123,FOR to MOS,12.31096181,99.06037048
124,FOR to MOS,13.93960742,98.6148061
125,FOR to MOS,13.90726807,98.10141892
126,FOR to MOS,11.98846662,98.82770682
127,FOR to MOS,13.90726807,98.27793787
128,FOR to MOS,10.79460561,98.69295953
129,FOR to MOS,11.44708195,98.86603494
130,FOR to MOS,10.27448106,98.55416982
131,FOR to MOS,12.57326987,98.80075737
132,FOR to MOS,11.51011374,99.02713282
133,FOR to MOS,11.41174821,99.31549202
134,FOR to MOS,12.23640164,98.75494329
135,FOR to MOS,10.80438727,98.6872702
136,FOR to MOS,14.46294024,98.29539085
137,FOR to MOS,11.84698197,99.43676459
138,FOR to MOS,11.20693233,98.75494329
139,FOR to MOS,11.98577168,98.83309672
140,FOR to MOS,12.50859117,98.85735123
141,FOR to MOS,12.66489803,98.79806242
142,FOR to MOS,12.19462998,99.09720141
143,FOR to MOS,12.29030056,99.12145592
144,FOR to MOS,11.91570309,99.25350827
145,FOR to MOS,13.18008185,98.60402632
146,FOR to MOS,13.45451717,98.50700827
147,FOR to MOS,12.41696301,98.80075737
148,FOR to MOS,14.88822836,98.15936025
149,FOR to MOS,14.09052439,98.27591666
150,FOR to MOS,13.38175363,98.61884852
151,FOR to SHB,13.82432363,98.2875199
152,FOR to SHB,11.85910922,99.37882325
153,FOR to SHB,12.27465995,98.8009227
154,FOR to SHB,11.4171381,99.37478083
155,FOR to SHB,11.82811735,99.45697668
156,FOR to SHB,13.87063243,98.41862186
157,FOR to SHB,15.08415092,98.02892487
158,FOR to SHB,10.42809298,98.65523029
159,FOR to SHB,14.03770345,98.87783282
160,FOR to SHB,14.93707425,97.88447578
161,FOR to SHB,11.47861656,99.00843663
162,FOR to SHB,13.99081139,98.42885484
163,FOR to SHB,13.95523811,98.61265015
164,FOR to SHB,13.12034388,98.72395141
165,FOR to SHB,13.80070045,98.68114703
166,FOR to SHB,11.95208486,99.25755069
167,FOR to SHB,13.29630799,98.98116021
168,FOR to SHB,11.03176085,99.02713282
169,FOR to SHB,12.6864576,98.89912289
