plot_file,actively_saved,actively_saved_on_year,actively_saved_on_month,actively_saved_on_day,operator,plot_number,id,location_srs,location_x,location_y,imagery_1992_availability,imagery_1992_availability_label,imagery_1992_date,presence_1992_of,presence_1992_of_label,size_1992_group,size_1992_group_label,notes_1992_inside_polygon,notes_1992_outside_polygon,imagery_1997_availability,imagery_1997_availability_label,imagery_1997_date,presence_1997_of,presence_1997_of_label,size_1997_group,size_1997_group_label,notes_1997_inside_polygon,notes_1997_outside_polygon,imagery_2004_availability,imagery_2004_availability_label,imagery_2004_date,presence_2004_of,presence_2004_of_label,size_2004_group,size_2004_group_label,notes_2004_inside_polygon,notes_2004_outside_polygon,imagery_2015_availability,imagery_2015_availability_label,imagery_2015_date,presence_2015_of,presence_2015_of_label,size_2015_group,size_2015_group_label,notes_2015_inside_polygon,notes_2015_outside_polygon
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,5,FOR to MOS,EPSG:4326,98.80075737,12.0357779,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2013,2,Rubber,1,Small,"Very small RBR, mainly FOR",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,14,FOR to MOS,EPSG:4326,98.52183047,13.37636374,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,33,FOR to MOS,EPSG:4326,98.84118155,12.12860381,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2012,2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,37,FOR to MOS,EPSG:4326,99.39364545,11.43196031,,,,,,,,,,,,,,,,,,,1,Yes,2003,5,Forest,4,NA,NA,NA,1,Yes,"2013, 2017",2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,46,FOR to MOS,EPSG:4326,99.0729469,11.8550668,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,50,FOR to MOS,EPSG:4326,98.74820592,11.39827348,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,2,Rubber,1,Small,"RPD too, small",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,73,FOR to MOS,EPSG:4326,98.94897939,11.52763088,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 20165",2,Rubber,1,Small,Medium logging,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,118,FOR to MOS,EPSG:4326,98.58111928,10.21586599,,,,,,,,,,,,,,,,,,,1,Yes,2005,5,Forest,4,NA,NA,NA,1,Yes,"2014, 2015",2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,125,FOR to MOS,EPSG:4326,98.10141892,13.90726807,,,,,,,,,,,,,,,,,,,1,Yes,2005,2,Rubber,1,Small,NA,NA,1,Yes,2016,2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,131,FOR to MOS,EPSG:4326,98.80075737,12.57326987,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2017",2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,140,FOR to MOS,EPSG:4326,98.85735123,12.50859117,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2013,2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,143,FOR to MOS,EPSG:4326,99.12145592,12.29030056,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016",2,Rubber,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,146,FOR to MOS,EPSG:4326,98.50700827,13.45451717,,,,,,,,,,,,,,,,,,,1,Yes,2002,7,Mixed,4,NA,NA,NA,1,Yes,"2012, 2015",2,Rubber,1,Small,"BUA, small.",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,47,FOR to MOS,EPSG:4326,98.71265337,10.35595135,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016",2,Rubber,2,Medium,RBR and OPM med,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,53,FOR to MOS,EPSG:4326,98.96514906,12.31994496,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",2,Rubber,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,89,FOR to MOS,EPSG:4326,98.54204256,13.29551536,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2015",2,Rubber,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,100,FOR to MOS,EPSG:4326,98.4558043,14.33037457,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2013,2,Rubber,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,110,FOR to MOS,EPSG:4326,98.70373932,12.79964533,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",2,Rubber,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,130,FOR to MOS,EPSG:4326,98.55416982,10.27448106,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2015, 2017",2,Rubber,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,21,FOR to MOS,EPSG:4326,98.96245412,12.59482944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,23,FOR to MOS,EPSG:4326,98.69026459,12.90205327,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,31,FOR to MOS,EPSG:4326,98.97458137,11.5464955,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2015",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,36,FOR to MOS,EPSG:4326,98.64189031,13.07709,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,43,FOR to MOS,EPSG:4326,98.32779437,13.98003161,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2011, 2013, 2014",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,57,FOR to MOS,EPSG:4326,98.73038934,12.98290164,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,59,FOR to MOS,EPSG:4326,98.56090719,10.16129334,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2014, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,69,FOR to MOS,EPSG:4326,98.60402632,10.29065074,,,,,,,,,,,,,,,,,,,1,Yes,2005,3,Oil palm,2,Medium,NA,NA,1,Yes,"2012, 2015, 2017",2,Rubber,3,Large,and OPM,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,78,FOR to MOS,EPSG:4326,98.81962199,11.33224731,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2015, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,81,FOR to MOS,EPSG:4326,98.75292208,12.62245264,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2016",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,88,FOR to MOS,EPSG:4326,98.73877361,12.44930236,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2015, 2016",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,109,FOR to MOS,EPSG:4326,98.96925007,11.50642283,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,2,Rubber,3,Large,"Main RBR, foll by RPD",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,120,FOR to MOS,EPSG:4326,98.72260394,12.74035652,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,121,FOR to MOS,EPSG:4326,98.55821224,10.04136825,,,,,,,,,,,,,,,,,,,1,Yes,2005,2,Rubber,1,Small,NA,NA,1,Yes,"2014, 2017, 2018",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,127,FOR to MOS,EPSG:4326,98.27793787,13.90726807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2011, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,132,FOR to MOS,EPSG:4326,99.02713282,11.51011374,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2017,2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,133,FOR to MOS,EPSG:4326,99.31549202,11.41174821,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2017",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,138,FOR to MOS,EPSG:4326,98.75494329,11.20693233,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,142,FOR to MOS,EPSG:4326,99.09720141,12.19462998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2015, 2016",2,Rubber,3,Large,RPD too,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,149,FOR to MOS,EPSG:4326,98.27591666,14.09052439,,,,,,,,,,,,,,,,,,,1,Yes,2006,2,Rubber,1,Small,NA,NA,1,Yes,"2013, 2014, 2015, 2016",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,9,FOR to MOS,EPSG:4326,98.68846796,12.40977649,,,,,,,,,,,,,,,,,,,1,Yes,2007,7,Mixed,4,NA,RBR outskirts,NA,,,"2013, 2014, 2015",2,Rubber,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,12,FOR to MOS,EPSG:4326,98.50357834,13.34181943,,,,,,,,,,,,,,,,,,,1,Yes,2002,4,Rice paddy,,,"RPD mainly, but also OPM",NA,1,Yes,2015,4,Rice paddy,1,Small,"RPD, and to a smaller extent OPM",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,62,FOR to MOS,EPSG:4326,98.80992018,12.15124135,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014",4,Rice paddy,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,64,FOR to MOS,EPSG:4326,98.69565448,11.80521031,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2012,4,Rice paddy,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,77,FOR to MOS,EPSG:4326,98.69834942,12.93439262,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016, 2017",4,Rice paddy,1,Small,RBR small too,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,123,FOR to MOS,EPSG:4326,99.06037048,12.31096181,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016",4,Rice paddy,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,134,FOR to MOS,EPSG:4326,98.75494329,12.23640164,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016, 2017",4,Rice paddy,1,Small,Mainly FOR,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,52,FOR to MOS,EPSG:4326,98.61884852,13.22544677,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",4,Rice paddy,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,10,FOR to MOS,EPSG:4326,99.13358318,12.19597745,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2014",4,Rice paddy,2,Medium,Logging also observed,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,80,FOR to MOS,EPSG:4326,99.13523009,12.29628933,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2015, 2016",4,Rice paddy,2,Medium,RBR small,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,84,FOR to MOS,EPSG:4326,98.89508047,12.21484208,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016",4,Rice paddy,2,Medium,"and RBR, med",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,112,FOR to MOS,EPSG:4326,98.893733,12.20675724,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016, 2018",4,Rice paddy,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,147,FOR to MOS,EPSG:4326,98.80075737,12.41696301,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2013, 2014",4,Rice paddy,2,Medium,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,105,FOR to MOS,EPSG:4326,99.09450646,12.42235291,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2014, 2015, 2016",4,Rice paddy,3,Large,"Main RPD, foll by RBR",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,145,FOR to MOS,EPSG:4326,98.60402632,13.18008185,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,4,Rice paddy,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,68,FOR to MOS,EPSG:4326,98.67409491,10.81616518,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2015, 2017",3,Oil palm,1,Small,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,40,FOR to MOS,EPSG:4326,98.6746339,10.49546662,,,,,,,,,,,,,,,,,,,1,Yes,2005,5,Forest,4,NA,NA,NA,1,Yes,"2016, 2018",3,Oil palm,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,107,FOR to MOS,EPSG:4326,98.67409491,10.68950272,,,,,,,,,,,,,,,,,,,1,Yes,2005,5,Forest,4,NA,NA,NA,1,Yes,"2017, 2018",3,Oil palm,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,114,FOR to MOS,EPSG:4326,98.68667133,10.64997685,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2016, 2017, 2018",3,Oil palm,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,116,FOR to MOS,EPSG:4326,98.54204256,10.14108124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2014, 2017",3,Oil palm,3,Large,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,2,FOR to MOS,EPSG:4326,98.95032686,12.33341969,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,3,FOR to MOS,EPSG:4326,98.45310935,13.73209659,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,4,FOR to MOS,EPSG:4326,98.94493697,12.7807807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,6,FOR to MOS,EPSG:4326,98.21325917,14.87475363,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",7,Mixed,4,NA,Nat veg,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,13,FOR to MOS,EPSG:4326,99.20499924,11.95612727,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,16,FOR to MOS,EPSG:4326,98.74331247,12.72560523,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,17,FOR to MOS,EPSG:4326,98.57168697,14.08782944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2011,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,19,FOR to MOS,EPSG:4326,98.77704184,11.12177204,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2009,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,25,FOR to MOS,EPSG:4326,98.46119419,14.16867782,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,26,FOR to MOS,EPSG:4326,98.01955994,14.44053048,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,27,FOR to MOS,EPSG:4326,98.47197397,10.6706381,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,30,FOR to MOS,EPSG:4326,98.88969058,12.00733125,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,32,FOR to MOS,EPSG:4326,98.08390177,14.01237096,,,,,,,,,,,,,,,,,,,1,Yes,2005,7,Mixed,3,Large,NA,NA,1,Yes,"2013, 2014, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,34,FOR to MOS,EPSG:4326,99.13493065,12.25930868,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2014, 2018",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,35,FOR to MOS,EPSG:4326,99.14571044,13.74961374,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2015, 2017",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,38,FOR to MOS,EPSG:4326,98.5501274,13.562315,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2013, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,39,FOR to MOS,EPSG:4326,99.17265989,11.95073738,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,41,FOR to MOS,EPSG:4326,99.03656513,12.39001356,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,42,FOR to MOS,EPSG:4326,98.79267253,12.82389984,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2012,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,44,FOR to MOS,EPSG:4326,99.1376256,13.30629515,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2016,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,24,J Johanness,45,FOR to MOS,EPSG:4326,98.04078264,14.3937058,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,48,FOR to MOS,EPSG:4326,98.20113191,14.68071753,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016, 2017",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,49,FOR to MOS,EPSG:4326,99.38556062,11.85641428,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,58,FOR to MOS,EPSG:4326,99.02803113,11.99744978,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2012,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,60,FOR to MOS,EPSG:4326,99.03521766,13.26654469,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2016,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,65,FOR to MOS,EPSG:4326,99.2319487,12.00194135,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,66,FOR to MOS,EPSG:4326,98.61750105,13.92209027,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2011, 2013",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,67,FOR to MOS,EPSG:4326,98.56899202,13.36019406,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2011, 2013, 2013, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,75,FOR to MOS,EPSG:4326,98.6350182,13.84258937,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2011, 2013, 2013",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,82,FOR to MOS,EPSG:4326,98.91125015,12.69723738,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,83,FOR to MOS,EPSG:4326,99.12415087,13.71637607,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2016, 2017",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,85,FOR to MOS,EPSG:4326,98.57438191,13.35480417,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2013,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,87,FOR to MOS,EPSG:4326,98.63411988,13.35031259,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2013",7,Mixed,4,NA,"Mixed nat veg, BRG, GRS. no plantation",NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,90,FOR to MOS,EPSG:4326,99.02174293,13.4033132,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2015, 2017",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,91,FOR to MOS,EPSG:4326,99.07564184,12.48433666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2015, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,92,FOR to MOS,EPSG:4326,98.09063913,14.89227078,,,,,,,,,,,,,,,,,,,1,Yes,2002,7,Mixed,4,NA,NA,NA,1,Yes,2014,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,94,FOR to MOS,EPSG:4326,98.91933498,14.03258305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,95,FOR to MOS,EPSG:4326,98.16475015,14.93673739,,,,,,,,,,,,,,,,,,,1,Yes,2002,7,Mixed,4,NA,NA,NA,1,Yes,"2013, 2017",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,98,FOR to MOS,EPSG:4326,98.88706473,14.09366849,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2014, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,99,FOR to MOS,EPSG:4326,98.6320123,13.88031861,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2016",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,101,FOR to MOS,EPSG:4326,98.89418216,11.99475483,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2013",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,103,FOR to MOS,EPSG:4326,98.32914184,14.22796663,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2013, 2014, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,104,FOR to MOS,EPSG:4326,98.520483,13.34941428,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,"2012, 2015",7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,106,FOR to MOS,EPSG:4326,98.53126278,14.13094858,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2016,7,Mixed,4,NA,NA,NA
Edited_for_CEP_try_2.csv,TRUE,2019,1,25,J Johanness,111,FOR to MOS,EPSG:4326,98.78189275,11.223102,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,2015,7,Mixed,4,NA,NA,NA
